Open,Close,High,Low,Volumn,Date
4480,4465,4480,4463.5,26,2/11/2022 17:30
4467,4456.5,4473.5,4456.5,59,2/11/2022 18:00
4455.5,4419,4455.5,4409,435,2/11/2022 18:30
4415,4407.5,4437,4404,126,2/11/2022 19:00
4411,4409,4425.5,4393,419,2/11/2022 19:30
4407.25,4403.5,4425,4399.5,89,2/11/2022 20:00
4403.5,4402.25,4421.5,4388,126,2/11/2022 20:30
4402.75,4409.25,4409.25,4398.25,86,2/11/2022 21:00
4415.75,4413,4418,4412.25,19,2/11/2022 21:30
4404,4398.75,4411,4389.25,99,2/14/2022 14:30
4390,4390.5,4400.25,4375,115,2/14/2022 15:00
4390.5,4375.25,4390.5,4373.25,103,2/14/2022 15:30
4382,4396.75,4400.5,4375,160,2/14/2022 16:00
4398,4400.75,4401,4387.75,166,2/14/2022 16:30
4397,4406,4406,4397,16,2/14/2022 17:00
4410.25,4405.25,4413.25,4404,120,2/14/2022 17:30
4411.25,4398.5,4412,4398.5,200,2/14/2022 18:00
4390.5,4361.75,4394,4360,259,2/14/2022 18:30
4359.5,4371.75,4383,4352,99,2/14/2022 19:00
4365.75,4380,4386,4365,22,2/14/2022 19:30
4379,4386,4392,4369,42,2/14/2022 20:00
4386.25,4386.5,4400.25,4382.75,204,2/14/2022 20:30
4389,4391.5,4393,4389,12,2/14/2022 21:00
4392.25,4388,4393,4388,3,2/14/2022 21:30
4440,4440.5,4455,4439.25,81,2/15/2022 14:30
4440.25,4445,4445,4435,145,2/15/2022 15:00
4448.75,4453,4457,4445,43,2/15/2022 15:30
4453.75,4447.5,4456.75,4447,22,2/15/2022 16:00
4449,4451.75,4457.5,4449,23,2/15/2022 16:30
4456,4442.5,4457.25,4437.5,34,2/15/2022 17:00
4442.5,4437.25,4443.25,4431.5,25,2/15/2022 17:30
4437,4451.75,4451.75,4437,23,2/15/2022 18:00
4454.25,4454.25,4454.25,4451.5,12,2/15/2022 18:30
4453.25,4452.75,4453.5,4445,22,2/15/2022 19:00
4450,4452.25,4455.5,4449.5,30,2/15/2022 19:30
4456,4452,4458,4452,25,2/15/2022 20:00
4450,4460.5,4461,4436.75,133,2/15/2022 20:30
4454,4455.5,4455.5,4448,17,2/15/2022 21:00
4454,4451.75,4454.25,4447.75,21,2/15/2022 21:30
4440.5,4424.5,4445,4423.25,82,2/16/2022 14:30
4424,4430.5,4431.75,4421,63,2/16/2022 15:00
4430.25,4428.5,4433.5,4427.25,32,2/16/2022 15:30
4430.5,4435,4435,4428,18,2/16/2022 16:00
4433.5,4433,4434.25,4430,10,2/16/2022 16:30
4436.25,4432,4436.25,4432,5,2/16/2022 17:00
4427,4427,4428.5,4418,37,2/16/2022 17:30
4426,4429.75,4431.25,4423.75,20,2/16/2022 18:00
4427.5,4421.5,4429.75,4421.5,21,2/16/2022 18:30
4431.5,4458.5,4460,4418,261,2/16/2022 19:00
4460,4463,4469.25,4451.5,79,2/16/2022 19:30
4464.25,4472.75,4474,4464,52,2/16/2022 20:00
4471.5,4461.75,4476.5,4461.75,66,2/16/2022 20:30
4462.25,4461.5,4465.75,4459,49,2/16/2022 21:00
4462,4459.75,4462,4459.75,3,2/16/2022 21:30
4432,4405,4434.5,4403,190,2/17/2022 14:30
4402.5,4397,4414.5,4396.5,159,2/17/2022 15:00
4396.5,4405.5,4405.5,4395.25,60,2/17/2022 15:30
4404,4411.5,4415,4404,42,2/17/2022 16:00
4407.25,4409.5,4417.75,4407.25,12,2/17/2022 16:30
4409,4411,4412,4404.25,33,2/17/2022 17:00
4415.5,4408.75,4415.5,4406.75,19,2/17/2022 17:30
4408.25,4400,4409.25,4400,25,2/17/2022 18:00
4401,4399,4404.25,4397,12,2/17/2022 18:30
4398.25,4388.75,4398.25,4387,76,2/17/2022 19:00
4388.75,4379.5,4389.25,4378.5,100,2/17/2022 19:30
4382.25,4371,4382.25,4367.75,90,2/17/2022 20:00
4377.5,4367.25,4381.5,4362.75,117,2/17/2022 20:30
4368,4364.75,4371.25,4362.75,35,2/17/2022 21:00
4369,4369,4369.75,4368.75,15,2/17/2022 21:30
4369.25,4380.25,4383,4357,144,2/18/2022 14:30
4377,4367.75,4382,4365,138,2/18/2022 15:00
4362,4349.25,4362,4348.25,117,2/18/2022 15:30
4350.5,4346.25,4352.75,4332.5,190,2/18/2022 16:00
4345.75,4327,4351.25,4327,123,2/18/2022 16:30
4329,4338.25,4346.75,4324.25,70,2/18/2022 17:00
4335.25,4326.5,4340.5,4322,81,2/18/2022 17:30
4320,4321,4328,4315,39,2/18/2022 18:00
4320,4336,4338.25,4320,70,2/18/2022 18:30
4336.75,4351.5,4354.5,4333.25,77,2/18/2022 19:00
4358,4360.75,4365,4345.5,110,2/18/2022 19:30
4362.5,4338.5,4370,4338.5,92,2/18/2022 20:00
4337.75,4339.5,4349.25,4324.5,128,2/18/2022 20:30
4340,4346,4349,4340,34,2/18/2022 21:00
4344.5,4337.25,4346,4337,25,2/18/2022 21:30
4322,4340.5,4349,4302,223,2/22/2022 14:30
4338.25,4351.75,4351.75,4326,103,2/22/2022 15:00
4349.5,4314.75,4349.5,4313.75,112,2/22/2022 15:30
4314,4310.25,4322,4306.5,112,2/22/2022 16:00
4316,4308.25,4321,4301,148,2/22/2022 16:30
4308.25,4299.75,4315.25,4299.75,62,2/22/2022 17:00
4299,4289.25,4303,4289,95,2/22/2022 17:30
4291,4284.75,4297.5,4279,160,2/22/2022 18:00
4284.25,4269,4289.25,4264,119,2/22/2022 18:30
4268,4275,4283,4255.5,201,2/22/2022 19:00
4274.5,4306.75,4313.25,4270,179,2/22/2022 19:30
4307.75,4316.25,4323.5,4303.75,96,2/22/2022 20:00
4305,4292.75,4312,4279.25,178,2/22/2022 20:30
4297.25,4306.75,4311.75,4297.25,61,2/22/2022 21:00
4306.75,4304.25,4312,4303.5,21,2/22/2022 21:30
4322.75,4307.25,4328.75,4307,189,2/23/2022 14:30
4305,4277,4305,4277,191,2/23/2022 15:00
4277.5,4278,4288.5,4273,119,2/23/2022 15:30
4275.5,4266,4279.25,4262.25,107,2/23/2022 16:00
4265.75,4284.5,4286,4264.75,86,2/23/2022 16:30
4283,4295.75,4297.5,4278,49,2/23/2022 17:00
4297.75,4273.75,4297.75,4273.5,88,2/23/2022 17:30
4274.25,4252.75,4274.25,4252.5,122,2/23/2022 18:00
4255.25,4257.25,4268.5,4247,98,2/23/2022 18:30
4258.25,4237.75,4261.75,4237.25,136,2/23/2022 19:00
4240,4233.5,4240,4227.25,75,2/23/2022 19:30
4230.25,4232.75,4233.25,4214.5,226,2/23/2022 20:00
4231.5,4216,4233.25,4208.5,318,2/23/2022 20:30
4217,4216,4220,4215.25,80,2/23/2022 21:00
4214,4210.5,4215,4206.75,42,2/23/2022 21:30
4104.25,4152,4153,4102.25,630,2/24/2022 14:30
4151.25,4150.25,4176.25,4126.75,1042,2/24/2022 15:00
4148,4165,4173.75,4139,483,2/24/2022 15:30
4162.75,4171.25,4189.25,4158,304,2/24/2022 16:00
4172,4181.5,4181.5,4155,391,2/24/2022 16:30
4181,4157,4181.5,4148.25,378,2/24/2022 17:00
4160,4157.75,4173.5,4148.5,251,2/24/2022 17:30
4158.5,4160,4176.75,4152,216,2/24/2022 18:00
4162,4184.5,4208,4162,325,2/24/2022 18:30
4182,4202.5,4202.5,4173.5,166,2/24/2022 19:00
4204,4228,4232.25,4204,254,2/24/2022 19:30
4225,4232.5,4244.25,4225,169,2/24/2022 20:00
4232.25,4277.75,4282,4232.25,606,2/24/2022 20:30
4273.5,4259.25,4277.5,4255.75,106,2/24/2022 21:00
4258,4263,4271.5,4256.75,19,2/24/2022 21:30
4290.25,4279.75,4306.25,4277.5,629,2/25/2022 14:30
4280,4313.25,4317,4274,389,2/25/2022 15:00
4314.25,4328,4332.75,4300.5,344,2/25/2022 15:30
4327.25,4348.5,4352.5,4317.75,378,2/25/2022 16:00
4347.75,4362.25,4363.75,4340.75,436,2/25/2022 16:30
4361.5,4361.75,4365,4350.5,273,2/25/2022 17:00
4362.25,4354.75,4368.25,4349.5,583,2/25/2022 17:30
4356.25,4361.75,4363.5,4344.75,376,2/25/2022 18:00
4361.5,4361.75,4372.5,4357.25,296,2/25/2022 18:30
4361.5,4366.25,4370.25,4353.25,509,2/25/2022 19:00
4368.5,4355.75,4370.75,4346.75,524,2/25/2022 19:30
4355.25,4361.75,4369.5,4347.25,567,2/25/2022 20:00
4362.25,4372,4374.75,4355.5,1066,2/25/2022 20:30
4372,4374.75,4375.75,4370.75,58,2/25/2022 21:00
4375.25,4372.75,4376,4372.25,25,2/25/2022 21:30
4314.75,4337,4339,4314.75,866,2/28/2022 14:30
4337.5,4330,4340,4313.25,409,2/28/2022 15:00
4328.5,4353.75,4357.25,4328.25,555,2/28/2022 15:30
4355,4371.5,4374.5,4350.5,677,2/28/2022 16:00
4372,4369,4377,4357,236,2/28/2022 16:30
4369.25,4341.5,4371.5,4337.25,206,2/28/2022 17:00
4341.25,4330.75,4341.25,4321.5,188,2/28/2022 17:30
4330.5,4332.5,4349.25,4324.75,309,2/28/2022 18:00
4330,4337.75,4344.75,4325.5,238,2/28/2022 18:30
4336.75,4307,4336.75,4301.75,273,2/28/2022 19:00
4308.25,4324,4327.5,4301.75,159,2/28/2022 19:30
4324,4331.5,4337,4311.5,287,2/28/2022 20:00
4329.75,4360.75,4364.5,4311,1011,2/28/2022 20:30
4359.75,4362,4363,4355.25,92,2/28/2022 21:00
4362,4362.5,4362.5,4362,9,2/28/2022 21:30
4344.75,4345,4366.25,4339,3040,3/1/2022 14:30
4346.75,4342.5,4356.5,4329,1910,3/1/2022 15:00
4342.5,4321.25,4346.75,4317.75,1442,3/1/2022 15:30
4321.5,4324.5,4335.5,4319.25,1287,3/1/2022 16:00
4325,4292,4325,4286,1279,3/1/2022 16:30
4291,4298,4300,4280,895,3/1/2022 17:00
4295.5,4308.75,4310.5,4295,233,3/1/2022 17:30
4310.25,4277,4314.5,4277,175,3/1/2022 18:00
4277,4284.5,4289,4276,371,3/1/2022 18:30
4286.25,4298.5,4300.25,4274,684,3/1/2022 19:00
4297.75,4291,4307.75,4288,571,3/1/2022 19:30
4291.75,4289.25,4316.75,4288.5,595,3/1/2022 20:00
4288.5,4294.25,4297.75,4266.75,1727,3/1/2022 20:30
4295,4304.75,4306.5,4295,237,3/1/2022 21:00
4304,4301.5,4305.25,4299.5,37,3/1/2022 21:30
4319.25,4331.25,4342.75,4314.25,1286,3/2/2022 14:30
4331.5,4338.75,4346.25,4311,1876,3/2/2022 15:00
4338.5,4339,4351.25,4329,1468,3/2/2022 15:30
4340.5,4362.5,4370.5,4331.25,1696,3/2/2022 16:00
4363.25,4367,4379.5,4358,1569,3/2/2022 16:30
4366.25,4370,4375.75,4361,725,3/2/2022 17:00
4370.5,4373,4376.25,4366.5,668,3/2/2022 17:30
4373.5,4381,4386.25,4373.5,578,3/2/2022 18:00
4380.75,4383,4388.75,4378,480,3/2/2022 18:30
4383.25,4379.5,4390,4373,546,3/2/2022 19:00
4379.75,4375.5,4387.75,4371.75,499,3/2/2022 19:30
4375,4383,4385.75,4372,681,3/2/2022 20:00
4382.5,4374.25,4391,4370,798,3/2/2022 20:30
4373.25,4368.5,4375,4368.5,118,3/2/2022 21:00
4367.5,4365.75,4367.5,4362.5,21,3/2/2022 21:30
4400.5,4394.25,4406,4384.75,1505,3/3/2022 14:30
4389.75,4372.25,4398.25,4366.75,930,3/3/2022 15:00
4371,4344,4375,4343.25,776,3/3/2022 15:30
4344.25,4353,4356.25,4333.5,870,3/3/2022 16:00
4352.25,4358,4363.25,4346,658,3/3/2022 16:30
4357.75,4351,4368.25,4349.25,459,3/3/2022 17:00
4351.5,4372.75,4387.5,4350,1593,3/3/2022 17:30
4373.25,4384,4384.75,4369.5,400,3/3/2022 18:00
4383.75,4374.5,4383.75,4368.5,437,3/3/2022 18:30
4375,4380.75,4387.5,4371.25,407,3/3/2022 19:00
4382.25,4357.75,4382.25,4353.25,459,3/3/2022 19:30
4355.25,4360.25,4360.25,4343,635,3/3/2022 20:00
4359,4352.5,4359.25,4334.5,726,3/3/2022 20:30
4352.5,4355,4357,4350.25,155,3/3/2022 21:00
4355.5,4357.5,4357.5,4352.25,18,3/3/2022 21:30
4312,4312.75,4319.25,4288,979,3/4/2022 14:30
4312.25,4293.25,4318.75,4282,534,3/4/2022 15:00
4291.5,4279.25,4299.25,4279,176,3/4/2022 15:30
4279.75,4285.5,4288.25,4274,323,3/4/2022 16:00
4284,4286,4295,4275,349,3/4/2022 16:30
4287,4310.75,4314,4282.5,440,3/4/2022 17:00
4308.5,4313.75,4318,4300.25,396,3/4/2022 17:30
4314.75,4313,4328.75,4312,583,3/4/2022 18:00
4313.75,4299.75,4323.25,4299,342,3/4/2022 18:30
4302.5,4306.25,4313.25,4292,562,3/4/2022 19:00
4307,4287.75,4311,4285.5,541,3/4/2022 19:30
4287.75,4301.75,4308,4287.75,165,3/4/2022 20:00
4301,4317.25,4321.5,4291,579,3/4/2022 20:30
4317.75,4312.5,4317.75,4311.25,125,3/4/2022 21:00
4312.25,4312,4316.75,4311,33,3/4/2022 21:30
4311,4273.75,4312.75,4273.75,3267,3/7/2022 14:30
4272,4255.75,4281.75,4255,1830,3/7/2022 15:00
4255.5,4251,4262.25,4245,1991,3/7/2022 15:30
4250.25,4258.5,4267.5,4246.75,1283,3/7/2022 16:00
4257.75,4236.5,4259.5,4235.5,1523,3/7/2022 16:30
4236,4224.75,4237.5,4216.5,1655,3/7/2022 17:00
4223.75,4225.25,4238.75,4217.75,3227,3/7/2022 17:30
4224.25,4224,4238,4215.25,2499,3/7/2022 18:00
4224.25,4221.5,4235,4219.75,1514,3/7/2022 18:30
4221.5,4223.25,4234,4215.5,3943,3/7/2022 19:00
4221.5,4212.25,4225.25,4208,1266,3/7/2022 19:30
4213.25,4210.75,4215.25,4197.25,2294,3/7/2022 20:00
4210.25,4189.75,4210.5,4189,2811,3/7/2022 20:30
4190,4178.5,4193,4177.5,726,3/7/2022 21:00
4177.75,4179.25,4183.5,4177.75,169,3/7/2022 21:30
4191.25,4181.75,4206.5,4172.25,7997,3/8/2022 14:30
4181.5,4157.75,4187.25,4152,5390,3/8/2022 15:00
4158.75,4187.5,4189.5,4148.5,3409,3/8/2022 15:30
4188.75,4161.75,4192.5,4158,3603,3/8/2022 16:00
4161.25,4174,4181.25,4145.75,3191,3/8/2022 16:30
4174.5,4232.75,4241,4171.75,7032,3/8/2022 17:00
4233,4246.25,4250.5,4225,3746,3/8/2022 17:30
4246.75,4232.25,4266.5,4230,3427,3/8/2022 18:00
4232.75,4190,4232.75,4189,2602,3/8/2022 18:30
4189.25,4203.25,4204,4172.75,1742,3/8/2022 19:00
4201.5,4209.25,4222.25,4192,1474,3/8/2022 19:30
4209,4184.75,4230,4184.5,1660,3/8/2022 20:00
4185,4157.25,4187.75,4157,2931,3/8/2022 20:30
4157.25,4145,4158.25,4142.5,1233,3/8/2022 21:00
4144.75,4144.25,4147.75,4139.75,311,3/8/2022 21:30
4247.25,4234.75,4251.75,4223,4349,3/9/2022 14:30
4235.5,4252,4258.5,4234.5,3197,3/9/2022 15:00
4252.25,4260.5,4264.25,4246,2574,3/9/2022 15:30
4261.5,4248.5,4262.25,4242,2234,3/9/2022 16:00
4248.5,4268,4269.5,4248.5,1698,3/9/2022 16:30
4268.5,4271,4274.5,4262.5,1526,3/9/2022 17:00
4270,4278,4282,4270,887,3/9/2022 17:30
4278.5,4277.75,4278.5,4267.25,829,3/9/2022 18:00
4277,4261.75,4277,4257.75,2326,3/9/2022 18:30
4262,4267,4272.75,4260.5,1507,3/9/2022 19:00
4268.5,4267.25,4275.75,4265.5,1519,3/9/2022 19:30
4268,4282.25,4285.25,4267.5,1892,3/9/2022 20:00
4283.75,4268.75,4289.5,4260.5,4864,3/9/2022 20:30
4268.75,4268.25,4274.5,4263,1215,3/9/2022 21:00
4268.5,4272.5,4277.75,4265.25,327,3/9/2022 21:30
4218.25,4239,4243.75,4214,27462,3/10/2022 14:30
4239,4225.75,4246.5,4224.75,18514,3/10/2022 15:00
4225.5,4211.5,4229.75,4208.75,11187,3/10/2022 15:30
4211.5,4201.25,4212.25,4198.5,14012,3/10/2022 16:00
4201.25,4212.5,4213.5,4198,9724,3/10/2022 16:30
4212.5,4222.25,4225.25,4210,7910,3/10/2022 17:00
4222.25,4208.25,4222.25,4204.75,9084,3/10/2022 17:30
4208.5,4217.25,4220.25,4204.5,7267,3/10/2022 18:00
4217.25,4228.5,4232.5,4214.5,7779,3/10/2022 18:30
4228.5,4241.75,4246.75,4227,9700,3/10/2022 19:00
4242,4250.25,4254.5,4238.25,9588,3/10/2022 19:30
4250.75,4242.75,4251.5,4234.5,10063,3/10/2022 20:00
4242.75,4248.75,4258.25,4235,22146,3/10/2022 20:30
4248.75,4251.25,4252.25,4242.75,8168,3/10/2022 21:00
4251.25,4248,4253.25,4247.5,628,3/10/2022 21:30
4275,4264.75,4281.25,4259,105897,3/11/2022 14:30
4264.75,4250.25,4265,4241.75,90231,3/11/2022 15:00
4250,4263.25,4264.75,4243,61104,3/11/2022 15:30
4263.5,4246,4264.25,4244.75,51934,3/11/2022 16:00
4246,4237.5,4246.75,4231,58889,3/11/2022 16:30
4237.5,4228.5,4242.25,4227.75,44399,3/11/2022 17:00
4228.25,4233.75,4236.75,4223.5,29724,3/11/2022 17:30
4234,4243.75,4246,4231,30435,3/11/2022 18:00
4243.75,4230.75,4249.25,4230.25,33006,3/11/2022 18:30
4230.75,4240.5,4242.5,4227.25,31978,3/11/2022 19:00
4240.5,4224.75,4241.5,4219.5,34579,3/11/2022 19:30
4224.75,4213.25,4225.5,4213,35726,3/11/2022 20:00
4213.25,4195,4213.25,4189,131995,3/11/2022 20:30
4195,4199.25,4200,4192.5,40096,3/11/2022 21:00
4199.5,4196.75,4201.5,4195.25,3509,3/11/2022 21:30
4203,4207.75,4214,4185.5,120944,3/14/2022 13:30
4207.5,4222.25,4229.25,4199.25,77336,3/14/2022 14:00
4222.25,4237.5,4237.75,4214.75,69669,3/14/2022 14:30
4237.5,4217,4239.75,4215.25,52725,3/14/2022 15:00
4217.25,4199,4218.75,4194,59790,3/14/2022 15:30
4199,4192.5,4199,4182.5,58571,3/14/2022 16:00
4192.5,4173.25,4195.75,4172.5,64220,3/14/2022 16:30
4173,4168.5,4175.5,4167.25,52873,3/14/2022 17:00
4168.75,4161.25,4171,4155.25,77128,3/14/2022 17:30
4161.25,4153.25,4167,4152.25,42202,3/14/2022 18:00
4153.5,4165.5,4167.25,4152.25,41830,3/14/2022 18:30
4165.5,4166.25,4176.5,4160.5,61295,3/14/2022 19:00
4166.25,4165,4171.75,4154.5,139427,3/14/2022 19:30
4165,4170,4176,4162.75,35062,3/14/2022 20:00
4170,4171.25,4172,4168.75,4428,3/14/2022 20:30
4192,4198.25,4208,4178.5,156619,3/15/2022 13:30
4198.25,4212.25,4213.25,4186,98555,3/15/2022 14:00
