Open,Close,High,Low,Volume,Diff
4156.25,4159.5,4163.25,4145,45014,1.000781955
4159.75,4145.75,4160.25,4143.5,37108,0.996634413
4145.75,4150,4159.5,4145,29578,1.001025146
4149.75,4146,4151.25,4139,30354,0.999096331
4146,4154,4156.75,4142.75,30878,1.001929571
4154.25,4160.25,4161.25,4148.5,23105,1.001444304
4160.25,4165.75,4167.5,4159.75,28399,1.001322036
4166,4149.25,4168.25,4146.75,32144,0.995979357
4149.25,4156.5,4159.5,4143.75,24014,1.001747304
4156.75,4156.5,4157.75,4146.5,20981,0.999939857
4156.25,4154.75,4160.75,4148.75,17939,0.999639098
4154.5,4163.25,4166.5,4152,20516,1.00210615
4163.5,4169.75,4173,4157.75,25499,1.001501141
4170,4160.25,4171.5,4160.25,18287,0.997661871
4160.5,4151,4161.5,4150.75,18092,0.997716621
4151.25,4148.75,4153,4145,16348,0.999397772
4149,4154.25,4158.5,4146.5,16367,1.001265365
4154.25,4158.5,4162.25,4153.75,15125,1.001023049
4158.25,4170.25,4170.25,4153.25,17856,1.002885829
4170.25,4182,4184.5,4168.25,35242,1.002817577
4182,4183.25,4183.5,4174,20540,1.0002989
4183.25,4182.25,4187.25,4175,25928,0.999760951
4182.25,4190,4191,4182,19118,1.00185307
4190.25,4185.75,4191.75,4183.25,18652,0.998926078
4186,4193.25,4195.75,4186,20905,1.001731964
4193.25,4182.75,4193.5,4181.25,15989,0.997495976
4182.75,4184,4190.25,4182.75,12949,1.000298846
4184,4183.25,4185.25,4178.75,9194,0.999820746
4183.25,4182.5,4185.75,4179.5,8781,0.999820714
4182.75,4185.25,4186.25,4180.25,9268,1.000597693
4185.25,4190,4193.75,4182.75,13344,1.001134938
4190,4169.25,4190,4165.75,25974,0.995047733
4169.25,4174.5,4175.75,4166.5,12767,1.001259219
4174.75,4175,4176,4169,9421,1.000059884
4175,4179,4181,4174.5,9359,1.000958084
4179,4172.5,4183.25,4172,13749,0.998444604
4172.75,4173.25,4175.5,4167,12504,1.000119825
4173.25,4174.75,4178.75,4170.75,10082,1.000359432
4174.75,4175,4179.75,4172.75,7792,1.000059884
4175.25,4174,4181,4170.25,11156,0.999700617
4174.25,4172.25,4177.5,4171.25,7024,0.999520872
4172,4176,4177.75,4166,10552,1.000958773
4176,4177.75,4186,4175.5,13147,1.000419061
4177.75,4182.75,4184.25,4175.25,8669,1.001196816
4182.75,4188,4189,4181,10632,1.001255155
4188.25,4188.25,4192,4187.25,10611,1
4188.25,4185.5,4193.25,4181.75,12970,0.999343401
4185.5,4183,4186.75,4179.5,8191,0.9994027
4183,4188,4188.5,4181.75,7823,1.001195314
4188,4190,4190.5,4184.25,6997,1.000477555
4190,4191.25,4192,4185.5,6397,1.000298329
4191.25,4187.25,4192.75,4185,8941,0.999045631
4187,4182.5,4188,4179.75,8467,0.998925245
4182.5,4181.75,4183.75,4179,7501,0.999820681
4181.75,4173.25,4182.25,4172.25,16377,0.997967358
4173.25,4171.5,4173.5,4169,12506,0.999580663
4171.5,4163.75,4172.25,4162.75,17344,0.998142155
4163.75,4159,4163.75,4156.75,14864,0.998859201
4159,4158.75,4160.5,4154.75,11778,0.999939889
4158.75,4155.75,4159.5,4154.75,8828,0.999278629
4156,4163.5,4164,4155.5,12469,1.00180462
4163.5,4158.25,4171,4157,19052,0.998739042
4158.5,4161.25,4164.75,4147,27560,1.000661296
4161.5,4164.5,4166.5,4151.25,22067,1.000720894
4164.25,4169.75,4174.75,4162,17536,1.001320766
4169.5,4179.25,4181,4167,17341,1.00233841
4179.5,4176,4181.25,4174.5,15238,0.999162579
4176.25,4183.25,4185.75,4175,13190,1.001676145
4183.25,4183.25,4186.25,4180.25,11727,1
4183,4174.5,4185,4173.75,15635,0.997967966
4174.25,4173,4183,4165.75,18732,0.999700545
4172.75,4172.75,4176.5,4168.25,13273,1
4172.75,4177.5,4179.75,4167.5,16259,1.001138338
4177.5,4166,4178.25,4163,20378,0.997247157
4166.25,4158.75,4166.75,4153.75,23413,0.99819982
4159,4161.25,4167.5,4154.25,17460,1.000540995
4161,4173,4175,4155.25,28919,1.002883922
4172.75,4170,4174.5,4167,58343,0.999340962
4170.25,4178,4178,4168,20767,1.001858402
4178,4175.75,4182.5,4175.75,8898,0.999461465
4175.5,4173.5,4181,4171.75,7638,0.999521015
4173.5,4174,4176.25,4172,2151,1.000119804
4173.5,4171,4174,4168.75,1753,0.999400982
4170.75,4171.5,4172.75,4170.25,603,1.000179824
4171.75,4170.5,4172.75,4168.75,925,0.999700366
4170.75,4171,4171.75,4170,429,1.000059941
4171,4171.25,4172.25,4170.25,401,1.000059938
4171.5,4171,4173,4170,674,0.999880139
4171,4170.75,4172,4170.25,668,0.999940062
4170.75,4174.25,4174.75,4170.75,669,1.000839178
4176.5,4168.75,4177.5,4167.5,33181,0.998144379
4169,4170.5,4173.75,4167.75,21452,1.000359799
4170.5,4174.5,4176.5,4168.5,13321,1.000959118
4175,4179.25,4180.25,4173,17861,1.001017964
4179.5,4169.75,4179.75,4169,19383,0.997667185
4170,4166.5,4173.5,4166.25,12054,0.999160671
4166.25,4162.25,4167.75,4160,22574,0.999039904
4162,4158.75,4163,4156.25,18860,0.999219125
4158.5,4155,4163.25,4155,14204,0.99915835
4155,4154.75,4157.5,4150.5,19031,0.999939832
